ID,Название,Автор,Год,Ссылка,Изданий,Страниц,Язык,Издатель,Место публикации,Жанры,Обложка
1,Bible,Bible,1200,https://openlibrary.org/works/OL17732W,3100,896,eng,"Zondervan, HarperCollins Christian Pub., Biblica, Inc.",[Place of publication not identified],"Manuscripts, Latin (Medieval and modern), Glossaries, vocabularies, Early works to 1800, Bible, Religion, Bibles, Biblical Studies - General",https://covers.openlibrary.org/b/id/12707846-L.jpg
2,The Picture of Dorian Gray,Oscar Wilde,1890,https://openlibrary.org/works/OL8193416W,2297,287,eng,B. Tauchnitz,Leipzig,"British and irish fiction (fictional works by one author), Conduct of life, fiction, Fantasy fiction, Children's fiction, Appearance (Philosophy), Fiction, Conduct of life",https://covers.openlibrary.org/b/id/14314858-L.jpg
3,NYC Quote,Booksource,2023,https://openlibrary.org/works/OL36724830W,1488,Нет данных,eng,"Booksource, The",Нет данных,Education,Нет обложки
4,Anne of Green Gables,Lucy Maud Montgomery,1908,https://openlibrary.org/works/OL77746W,1299,242,chi,Chao hua chu ban she,Bei jing,"Fiction, Juvenile fiction, Country life, Friendship, Orphans, Friendship in fiction, Prince Edward Island in fiction",https://covers.openlibrary.org/b/id/14641084-L.jpg
5,Hard Times,Charles Dickens,1854,https://openlibrary.org/works/OL8193387W,1030,267,heb,עם עובד,תל־אביב,"Fiction, Social problems, Utilitarianism, Education, Social life and customs, Social conditions, Married people",https://covers.openlibrary.org/b/id/8236916-L.jpg
6,Kim,Rudyard Kipling,1901,https://openlibrary.org/works/OL19908W,936,448,Нет данных,PENGUIN CLASICOS,Нет данных,"Fiction, Irish, Lamas, Irish in fiction, Orphans, Boys in fiction, Boys",https://covers.openlibrary.org/b/id/1053011-L.jpg
7,πολιτεία,Πλάτων,1554,https://openlibrary.org/works/OL51831W,792,338,pol,"""Antyk""",Ke ·ty,"Political science, Early works to 1800, Utopias, Ouvrages avant 1800, Science politique, Utopies, Ciencias políticas",https://covers.openlibrary.org/b/id/14418448-L.jpg
8,The Merchant of Venice,William Shakespeare,1600,https://openlibrary.org/works/OL258758W,771,252,mul,Einaudi,Torino,"Drama, Jews, Moneylenders, Shylock (Fictitious character), Juvenile drama, Plays, English literature",https://covers.openlibrary.org/b/id/7182819-L.jpg
9,Julius Caesar,William Shakespeare,1684,https://openlibrary.org/works/OL362702W,697,64,eng,Sweet Cherry Publishing,Leicester,"Antoine (Marcus Antonius), Assassination, Assassins, Bibliography, Biography, Children's plays, English, Classic Literature",https://covers.openlibrary.org/b/id/7901303-L.jpg
10,A Midsummer Night's Dream,William Shakespeare,1600,https://openlibrary.org/works/OL259010W,683,58,eng,Hodder Murray,London,"Drama, Courtship, Plays, Hippolyta (Greek mythology), Theseus (Greek mythology), Juvenile drama, Children's plays, English",https://covers.openlibrary.org/b/id/7205924-L.jpg
11,Mary Erskine,Jacob Abbott,1850,https://openlibrary.org/works/OL4242238W,36,191,eng,T.J. Allman,London,"Country life, Girls, Orphans, Conduct of life, Juvenile fiction, Cousins, Children's stories",https://covers.openlibrary.org/b/id/5772391-L.jpg
12,Unterm Rad,Hermann Hesse,1900,https://openlibrary.org/works/OL873097W,36,157,eng,Penguin,London,"Fiction, Child psychopathology, Gifted children, Education, Continental european fiction (fictional works by one author), Gifted children -- Fiction, Enfants surdoués -- Romans, nouvelles, etc",https://covers.openlibrary.org/b/id/14029720-L.jpg
13,Mission 2,Summit Ministries,2022,https://openlibrary.org/works/OL27206751W,35,Нет данных,eng,Summit Press CO,Нет данных,"Education, Religion",Нет обложки
14,Iwanami kihon roppō,Japan.,1901,https://openlibrary.org/works/OL1584696W,35,234,"eng, jpn","Maruya & Co., P.S. King & Son, etc.","Tokyo, Yokohama, London","Atomic bomb victims, Banking law, Civil law, Commercial law, Corporations, Digests, Education",https://covers.openlibrary.org/b/id/5633621-L.jpg
15,Larry's Party,Carol Shields,1997,https://openlibrary.org/works/OL18341W,35,339,eng,Random House of Canada,[Toronto],"General, Education, Fiction - General, Spanish: Adult Nonfiction, Fiction, Men, Landscape architects in fiction",https://covers.openlibrary.org/b/id/9157760-L.jpg
16,Speeches,Fidel Castro,1965,https://openlibrary.org/works/OL865204W,35,161,spa,Editora Política,La Habana,"Communism, Interviews, Relations, Globalization, World politics, Economic conditions, Juvenile literature",https://covers.openlibrary.org/b/id/5353626-L.jpg
17,Circulaire,Église catholique. Archidiocèse de Québec. Administrateur (1855-1867 : Baillargeon),1855,https://openlibrary.org/works/OL12540083W,34,1 microfiche (5 images).,fre,s.n.,[S.l,"Asiatic Cholera, Associations, institutions, Canadian periodicals (English), Catholic Church, Catholic Press, Charities, Cholera, Asiatic",https://covers.openlibrary.org/b/id/7032612-L.jpg
18,The Demon-Haunted World,Carl Sagan,1995,https://openlibrary.org/works/OL2950942W,34,528,"ger, eng",Droemer Knaur,München,"Open Library Staff Picks, Long Now Manual for Civilization, Pseudowetenschap, Science, Onwetendheid, Parapsychology, Popular works",https://covers.openlibrary.org/b/id/13129044-L.jpg
19,Jacob's Ladder Reading Comprehension Program,Joyce VanTassel-Baska,2012,https://openlibrary.org/works/OL24867650W,34,Нет данных,Нет данных,Routledge,Нет данных,Education,https://covers.openlibrary.org/b/id/11756103-L.jpg
20,Motivation and learning strategies for college success,Myron H. Dembo,2000,https://openlibrary.org/works/OL3916909W,34,337,eng,Lawrence Erlbaum Associates,New York,"Achievement motivation, College student orientation, Learning strategies, Higher & further education, Study & learning skills, Higher, Learning Styles",https://covers.openlibrary.org/b/id/10859964-L.jpg
